sid,stream,name,mob_no,email,gender,x_perc,xii_perc,cet_perc,physics_xii,chem_xii,maths_xii,jee_perc,father_name,father_occupation,mother_name,mother_occupation,parent_income,pincode,year,sector,quota,latitude,longitude,hmap
20211100020,COMPS,Anne Foster,9004080411,annefoster@yahoo.com,F,40.09,74.76,52.78,86.38,61.99,90.35,75.8,Eric Reese,"Teacher, special educational needs",Michele Ortiz,Advertising art director,969982,400091,2021,information technology,non-minority,19.234,72.8399,0.1
20211100021,COMPS,Michelle Banks,9004931475,michellebanks@gmail.com,F,83.65,97.13,7.76,91.11,58.7,66.55,24.17,Nicholas Ruiz,Catering manager,Peggy Tapia,Lawyer,1381191,400101,2021,communications,non-minority,19.2059,72.8661,0.1
20211100022,MECH,Alyssa Johnson,8999435771,alyssajohnson@gmail.com,F,69.89,63.52,43.78,64.47,84,86.05,80.79,Daniel Vance,Television production assistant,Jillian Fleming,Immigration officer,537455,400072,2021,public administrative services,minority,19.1018,72.8904,0.1
20211100023,MECH,Amber Alvarez,9892762011,amberalvarez@yahoo.com,F,89.64,69.77,37.82,54.51,70.15,57.43,63.5,Randy Knight,Database administrator,Ann Pratt,Leisure centre manager,252408,400052,2021,manufacturing,non-minority,19.0717,72.8341,0.1
20211100024,MECH,Megan Becker,9987027738,meganbecker@gmail.com,F,51.53,65.24,47.93,88.83,84,52.55,69.29,Andrew Joseph,"Nurse, learning disability",Erika Castro,"Editor, film/video",881238,400065,2021,information technology,minority,19.1556,72.885,0.1
20211100025,IT,Charles Smith,9987743968,charlessmith@hotmail.com,M,81.79,99.93,65.37,94.84,51.19,65.47,37.06,Joshua Davis,"Surveyor, mining",Audrey Gibbs,"Copywriter, advertising",1194993,400101,2021,public administrative services,minority,19.2059,72.8661,0.1
20211100026,IT,Carl Cook,7738319654,carlcook@yahoo.com,M,88.97,92.98,84.62,97.99,99.91,54.07,33.31,Russell Conley,Corporate investment banker,Caitlin Herring,Clinical research associate,547154,400054,2021,agriculture and forestry,minority,19.082,72.8345,0.1
20211100027,IT,Daniel Cummings,8999474584,danielcummings@hotmail.com,M,86.74,83.93,90.62,96.22,97.76,53.41,40.77,Kenneth Chapman,"Scientist, water quality",Mackenzie Hubbard,Sports therapist,824078,400101,2021,constructions,non-minority,19.2059,72.8661,0.1
20211100028,COMPS,John Moore,9967149722,johnmoore@gmail.com,M,96.51,68.07,93.93,77.15,79.81,77.23,76.69,Adam Campbell,"Scientist, physiological",Sue Reynolds,"Engineer, petroleum",1332482,400089,2021,manufacturing,non-minority,19.0685,72.9003,0.1
20211100029,EXTC,Mr. Jason Adams,8999791302,mr.jasonadams@yahoo.com,M,49.18,99.46,41.45,75.75,61.4,66.1,15.73,Jimmy Anderson,Dancer,Amber Moore,"Teacher, early years/pre",722592,400033,2021,information technology,minority,18.9856,72.8442,0.1
20211100030,EXTC,Andrew Mays,9867522113,andrewmays@gmail.com,M,78.93,64.02,61.96,55.74,68.05,54.77,50.63,Jerry Roberts,"Journalist, broadcasting",Amanda Wilson,Nutritional therapist,707553,400093,2021,agriculture and forestry,minority,19.1283,72.8677,0.1
20211100031,MECH,Douglas Brady,9967735035,douglasbrady@yahoo.com,M,63.2,82.77,18.65,71.01,73.59,81.82,63.29,David Cook,Customer service manager,Heather Stephens,Medical physicist,115785,400068,2021,communications,minority,19.2591,72.8338,0.1
20211100032,MECH,Sean Hickman,9867329717,seanhickman@yahoo.com,M,57.69,75.62,59.11,75.29,83.47,83.66,86.87,Joshua Perez,Early years teacher,Chelsey Rodriguez,Gaffer,1282298,400079,2021,trade transport and hotels,non-minority,19.1025,72.9254,0.1
20211100033,IT,Caleb Bradley,9004042995,calebbradley@hotmail.com,M,99.21,80.62,31.5,74.43,73.97,57.51,25.81,Michael Pugh,Maintenance engineer,Linda Brooks,Theme park manager,1188302,400042,2021,information technology,non-minority,19.1338,72.9384,0.1
20211100034,COMPS,Tammy Lewis,8450974515,tammylewis@gmail.com,F,68.84,59.42,28.42,86.11,96.81,95.7,11.68,Antonio Tucker,"Engineer, land",Cathy Terrell,Illustrator,939411,400040,2021,manufacturing,minority,19.0636,72.9228,0.1
20211100035,MECH,Cindy West,7738980943,cindywest@gmail.com,F,86.38,71.47,25.88,70.11,93.54,69,11.39,Mark Chaney,Sub,Nicole Barnes,Lobbyist,877170,400057,2021,constructions,non-minority,19.1007,72.8485,0.1
20211100036,EXTC,James Zimmerman,9987299122,jameszimmerman@hotmail.com,M,83.27,66.17,32.85,84.18,52.09,91.28,14.29,Martin Anderson,Solicitor,Tanya Rivera,Museum/gallery curator,1298048,400042,2021,manufacturing,non-minority,19.1338,72.9384,0.1
20211100037,EXTC,Linda Harrell,9892071711,lindaharrell@gmail.com,F,95.74,97.91,37.76,78.89,90.5,86.54,46.31,Anthony Wallace,"Engineer, chemical",Jordan Shaw,Garment/textile technologist,652003,400036,2021,communications,non-minority,18.9625,72.805,0.1
20211100038,EXTC,Amy Thomas,9004296472,amythomas@yahoo.com,F,75.64,95.65,94.37,69.73,89.28,71.84,19.07,John Carter,Communications engineer,Marisa Smith,Sports coach,1337053,400065,2021,trade transport and hotels,non-minority,19.1556,72.885,0.1
20211100039,EXTC,David Hill,7738421126,davidhill@gmail.com,M,76.4,84.81,36.1,70.42,54.36,78.14,8.09,Peter Hart,Social researcher,Alyssa Preston,Advertising account planner,135410,400079,2021,communications,non-minority,19.1025,72.9254,0.1
20211100040,IT,David Hicks PhD,8454954318,davidhicksphd@gmail.com,M,66.63,79.12,63.36,61.27,54.48,60.42,2.41,Jesse King,"Psychologist, prison and probation services",Allison Fields,Higher education lecturer,534802,400048,2021,information technology,minority,18.9104,72.8198,0.1
20211100041,COMPS,Paul Parsons,8999873433,paulparsons@hotmail.com,M,41.22,60.17,2.97,52.56,78.64,61.14,1.47,Kyle Mack,Volunteer coordinator,Jacqueline Lopez,Marketing executive,1355441,400023,2021,communications,non-minority,18.9321,72.8323,0.1
20211100042,COMPS,James Carter,9665212571,jamescarter@gmail.com,M,58.15,52.09,16.74,51.2,59.8,90.92,18.16,Gary Henderson,"Designer, exhibition/display",Cindy Montoya,Bookseller,862053,400026,2021,information technology,non-minority,18.9706,72.8095,0.1
20211100043,MECH,Ethan Fernandez,9004467643,ethanfernandez@gmail.com,M,47.74,84.52,34.6,62.92,76.02,69.11,32.55,Michael Nguyen,"Surveyor, mining",Ashley Bell,Paramedic,373496,400061,2021,information technology,non-minority,19.1427,72.8053,0.1
20211100044,EXTC,Nicole Moran,7738951877,nicolemoran@gmail.com,F,74.66,99.85,10.36,85.27,52.61,58.25,61.34,James Williams,Industrial/product designer,Caitlin Sanchez,Television production assistant,1191721,400056,2021,trade transport and hotels,non-minority,19.1045,72.8395,0.1
20211100045,COMPS,Joseph Smith,9867448595,josephsmith@yahoo.com,M,50.6,94.59,88.47,66.6,54.64,52.68,60.72,Daniel Phelps,Hospital pharmacist,Amy Welch,Volunteer coordinator,771327,400052,2021,agriculture and forestry,minority,19.0717,72.8341,0.1
20211100046,EXTC,Gregory Simmons,9867387649,gregorysimmons@gmail.com,M,38.54,53.08,95.52,51.05,80.75,80.46,43.8,Joshua Mckee,Biomedical engineer,Brittany Brown,Actor,754349,400091,2021,communications,non-minority,19.234,72.8399,0.1
20211100047,IT,Cindy Morgan,9004569104,cindymorgan@gmail.com,F,59.43,97.21,58.47,75.8,81.75,73.42,22.73,Brandon Lewis,Chief Executive Officer,Stephanie Johnson,Multimedia specialist,1176491,400088,2021,trade transport and hotels,non-minority,19.0483,72.9288,0.1
20211100048,IT,Jeremy Boyd,9867518765,jeremyboyd@gmail.com,M,66.4,79.46,37.44,61.82,96.05,82.77,2.23,Ryan Hodges,Production engineer,Amy Baker,Freight forwarder,1467804,400019,2021,trade transport and hotels,minority,19.0269,72.8554,0.1
20211100049,IT,Katherine Dominguez,7738257337,katherinedominguez@hotmail.com,F,81.34,58.43,53.19,86.79,93.04,64.23,9.02,James Roy,Systems developer,Wendy Hernandez,Geochemist,1407847,400010,2021,finance and real estate services,non-minority,18.9702,72.846,0.1
20211100050,EXTC,Jacob Atkinson,8452013591,jacobatkinson@gmail.com,M,59.38,75.3,48.12,67.55,65.02,63.9,44.97,Mark Mcdonald,"Teacher, English as a foreign language",Shannon Harvey,"Engineer, communications",226280,400094,2021,agriculture and forestry,minority,19.0359,72.9247,0.1
20211100051,COMPS,Bradley Bell,9665545032,bradleybell@gmail.com,M,96.26,80.59,52.48,54.02,84.19,80.45,71.73,Richard Logan,"Education officer, environmental",Andrea Tucker,Chartered management accountant,636316,400088,2021,trade transport and hotels,non-minority,19.0483,72.9288,0.1
20211100052,MECH,Cory Phillips,9004628288,coryphillips@gmail.com,M,76.63,99.93,52.57,70.82,91.84,64.24,86.96,Adam Atkinson,"Horticulturist, commercial",Sonia Robinson,Television production assistant,461761,400031,2021,communications,minority,19.0133,72.8549,0.1
20211100053,COMPS,Richard Morgan,8999783085,richardmorgan@yahoo.com,M,83.08,52.05,12.73,72.45,71.06,52.52,35.98,Joe Allen,Data scientist,Linda Perry,"Therapist, nutritional",1343076,400073,2021,information technology,non-minority,19.0718,72.9168,0.1
20211100054,IT,Holly Thompson,9004179627,hollythompson@gmail.com,F,92.4,94.66,3.95,82.09,70.95,51.3,52.4,Brandon Duran,Speech and language therapist,Jordan Ellis,Photographer,597202,400018,2021,trade transport and hotels,non-minority,18.9985,72.8174,0.1
20211100055,IT,William Conley,9987389967,williamconley@yahoo.com,M,51.3,88.91,78.23,58.9,75.07,69.54,52.48,Nicholas Manning,Advertising account planner,Jennifer Johnson,"Horticulturist, commercial",380137,400015,2021,information technology,non-minority,18.9961,72.8528,0.1
20211100056,COMPS,Jennifer Parks,9967714318,jenniferparks@gmail.com,F,44.35,67.5,15.76,71.89,95.5,66.24,18.93,David Morales,Animal technologist,Christine Vasquez,Claims inspector/assessor,428086,400029,2021,agriculture and forestry,minority,19.0797,72.8679,0.1
20211100057,EXTC,Amy Schultz,7738146931,amyschultz@gmail.com,F,83.88,65.06,24.14,60.41,65.69,71.66,58.82,Mr. John Miller MD,Technical author,Tammy Carr,"Accountant, chartered certified",491924,400071,2021,public administrative services,non-minority,19.0521,72.9007,0.1
20211100058,MECH,Carl Miller,9967653831,carlmiller@gmail.com,M,42.9,77.01,11.6,67.01,78.27,98.65,51.55,Ryan Jackson,Theatre manager,Leslie Mendoza,Horticultural therapist,1381897,400054,2021,public administrative services,minority,19.082,72.8345,0.1
20211100059,EXTC,Danny Grimes,9892941786,dannygrimes@gmail.com,M,87.88,94.91,78.05,65.17,66.43,61.99,60.43,Michael Marquez,Futures trader,Kathleen Rogers,Financial planner,536838,400098,2021,information technology,non-minority,19.0718,72.8615,0.1
20211100060,EXTC,Thomas Powers,9867969182,thomaspowers@hotmail.com,M,89.33,94.47,73.77,89.84,71.4,89.58,13.19,Shawn Mosley,Insurance account manager,Katherine Klein,Water quality scientist,1494382,400021,2021,communications,non-minority,18.9256,72.8242,0.1
20211100061,COMPS,James Rubio,9867289896,jamesrubio@gmail.com,M,80.77,86.6,81.56,99.77,97.41,56,71.57,Mr. James Griffith,"Engineer, land",Jamie Mccoy,Special effects artist,297784,400043,2021,information technology,minority,19.0633,72.9258,0.1
20211100062,COMPS,Carrie Arellano,9967850508,carriearellano@hotmail.com,F,99.31,81.72,78.04,87.01,54.95,83.98,21.26,Trevor Patrick,"Clinical scientist, histocompatibility and immunogenetics",Jennifer Jones,Tourist information centre manager,1444394,400019,2021,public administrative services,minority,19.0269,72.8554,0.1
20211100063,COMPS,William Baker,9665127504,williambaker@gmail.com,M,48.8,68.43,28.4,72.47,89.13,62.72,76.2,Derek Phillips,"Buyer, industrial",Katherine Mcintosh,Licensed conveyancer,491567,400054,2021,public administrative services,non-minority,19.082,72.8345,0.1
20211100064,EXTC,Jamie Phillips,8999534707,jamiephillips@gmail.com,F,70.26,78.11,62.26,91.14,93.45,72.4,47.08,Dustin Wolf,IT sales professional,Tracey Hoover,Information systems manager,550068,400066,2021,constructions,non-minority,19.2313,72.8635,0.1
20211100065,IT,Cody Porter,9004074471,codyporter@gmail.com,M,63.44,91.49,75.23,87.13,81.08,67.28,83.13,Ruben Mckinney,Print production planner,Shannon Chavez,"Nurse, children's",1379321,400029,2021,communications,non-minority,19.0797,72.8679,0.1
20211100066,COMPS,Joseph Davis,9665840929,josephdavis@yahoo.com,M,80.39,52.6,20.86,64.43,78.01,91.58,12.05,David Chavez,"Engineer, materials",Madison Hernandez,"Engineer, electrical",616597,400044,2021,public administrative services,non-minority,19.0633,72.9258,0.1
20211100067,COMPS,Alexandria Harvey,9892350260,alexandriaharvey@gmail.com,F,65.33,75.48,84.2,82.97,90.61,50.88,62.37,Brett White,Aeronautical engineer,Michele Brown,Banker,1223283,400004,2021,communications,non-minority,18.958,72.8214,0.1
20211100068,EXTC,Andrew Washington,9987546871,andrewwashington@gmail.com,M,75.87,59.35,22.83,96.4,63.28,63.18,22.39,Ryan Brooks,English as a second language teacher,Lisa Wallace,Music tutor,1260798,400093,2021,manufacturing,minority,19.1283,72.8677,0.1
20211100069,IT,Andrew Marquez,9004385807,andrewmarquez@yahoo.com,M,72.87,89.83,34.21,50.67,60.19,75.19,26.99,Wayne Clark,Illustrator,Susan Goodman,Structural engineer,320622,400099,2021,trade transport and hotels,non-minority,19.0929,72.8654,0.1
20211100070,IT,Michael Flores,7738020722,michaelflores@gmail.com,M,78.35,98.06,23.33,55.49,76.16,73.72,67.21,Steven Washington,"Designer, television/film set",Tiffany Weeks,Sports coach,1159110,400098,2021,trade transport and hotels,non-minority,19.0718,72.8615,0.1
20211100071,EXTC,Craig Montoya,8452953024,craigmontoya@gmail.com,M,98.02,72.96,60.99,77.59,69.35,71.84,24.65,Aaron Odom,Academic librarian,Samantha Fisher,"Surveyor, commercial/residential",608280,400036,2021,manufacturing,non-minority,18.9625,72.805,0.1
20211100072,MECH,Teresa Martinez,9004166879,teresamartinez@hotmail.com,F,97.05,64.29,60.43,58.97,90.53,71.29,60.05,Brian Espinoza,"Doctor, hospital",Katelyn Henry,Radio producer,672339,400099,2021,constructions,minority,19.0929,72.8654,0.1
20211100073,COMPS,Wesley Juarez,8999374410,wesleyjuarez@gmail.com,M,56.21,87.07,99.23,86.01,61.02,78.14,41.96,Ryan Wiggins,"Surveyor, insurance",Leah Smith,"Engineer, chemical",925024,400082,2021,information technology,minority,19.1741,72.9372,0.1
20211100074,MECH,Jason Coleman,9987317322,jasoncoleman@gmail.com,M,65.51,52.5,31.96,71.59,75.33,99.08,84.57,Chad James,Photographer,Tiffany Brown,"Engineer, electrical",803746,400075,2021,manufacturing,minority,19.0799,72.9174,0.1
20211100075,MECH,Derrick Long,8450941130,derricklong@yahoo.com,M,84.81,75.84,67.93,74.84,70.18,61.19,62.83,Peter Parker,Chief Technology Officer,Maria Ware,"Production assistant, television",1491474,400060,2021,agriculture and forestry,minority,19.1368,72.8579,0.1
20211100076,IT,Steven Roberts IV,8450917771,stevenrobertsiv@gmail.com,M,48.56,65.41,75.12,57.83,51.23,75.62,63.52,Paul Crawford,"Teacher, music",Susan Hardin,Broadcast journalist,1433540,400062,2021,manufacturing,minority,19.1593,72.8427,0.1
20211100077,EXTC,Thomas Black,7738652663,thomasblack@gmail.com,M,69.57,51.93,46.68,88.58,67.62,77.66,50.88,Cody Morrison,Operations geologist,Deanna Tapia,"Designer, furniture",544438,400091,2021,finance and real estate services,minority,19.234,72.8399,0.1
20211100078,MECH,Edward Conley,9967195908,edwardconley@gmail.com,M,42.83,76.28,49.34,86.97,85.34,52.84,61.52,John Duncan,Multimedia programmer,Patricia Smith,"Psychologist, educational",625621,400078,2021,constructions,non-minority,19.157,72.9327,0.1
20211100079,EXTC,Ryan Walker,8454978765,ryanwalker@gmail.com,M,84.49,71.54,9.66,78.25,68.38,92.92,83.48,Bryan Robinson,Public librarian,Megan Pittman,Biomedical scientist,1000083,400061,2021,constructions,minority,19.1427,72.8053,0.1
20211100080,COMPS,Samantha Mack,9892198700,samanthamack@gmail.com,F,39.41,54.03,90.42,55.67,99.45,80.1,7.21,Anthony Harris,Art gallery manager,Alice Olson,Public house manager,886737,400017,2021,manufacturing,non-minority,19.0456,72.8537,0.1
20211100081,MECH,Shannon Young,9665589400,shannonyoung@gmail.com,F,84.15,72.03,55.1,87.79,87.38,57.11,7.36,Michael Solis,Architectural technologist,Alyssa Wilson,"Conservation officer, historic buildings",1125875,400010,2021,information technology,non-minority,18.9702,72.846,0.1
20211100082,EXTC,Cody Hill,9987538052,codyhill@hotmail.com,M,87.34,96.68,27.02,75.87,76.39,88.67,14.49,Thomas Taylor,"Engineer, drilling",Tina Khan,"Administrator, local government",381149,400063,2021,public administrative services,non-minority,19.1648,72.8533,0.1
20211100083,COMPS,Robert Reed,8999841556,robertreed@gmail.com,M,79.17,54.81,50.16,52.23,76.13,99.3,12.42,Jeremy Hall,Building control surveyor,Tracy Martin,Associate Professor,1278619,400041,2021,manufacturing,non-minority,19.0172,72.9398,0.1
20211100084,COMPS,Carlos Colon,9867476063,carloscolon@yahoo.com,M,35.75,57.38,37.9,94.66,62.89,76.79,29.56,Jeremy Johnson,"Producer, television/film/video",Paige Boone,"Surveyor, land/geomatics",1081482,400064,2021,finance and real estate services,non-minority,19.1872,72.8407,0.1
20211100085,EXTC,Kevin Wilson,9892563254,kevinwilson@gmail.com,M,76.59,94.82,31.98,50.58,76.39,86.71,26.28,Jerry Wells,"Social research officer, government",Tracy Jones,"Scientist, product/process development",743181,400052,2021,trade transport and hotels,minority,19.0717,72.8341,0.1
20211100086,EXTC,Andrea Howe,9967457157,andreahowe@hotmail.com,F,92.93,59.48,28.7,90.7,69.24,93.4,43.45,Gavin Rich,"Scientist, forensic",Brianna Anderson,Publishing copy,699280,400076,2021,information technology,non-minority,19.1239,72.9094,0.1
20211100087,COMPS,Joel Vasquez,8454854729,joelvasquez@gmail.com,M,55.46,78.08,20.17,51.4,81.81,65.38,14.7,Michael Guerrero,Information systems manager,Karen Blake,Statistician,277261,400044,2021,manufacturing,non-minority,19.0633,72.9258,0.1
20211100088,IT,Margaret Rich,8452955138,margaretrich@yahoo.com,F,49.5,90.06,0.94,91.69,99.07,77.13,60.77,Allen Lee,English as a second language teacher,Karen Fernandez MD,Quarry manager,757420,400063,2021,communications,minority,19.1648,72.8533,0.1
20211100089,IT,Amy Jones,9867371645,amyjones@hotmail.com,F,95.2,72.33,28.35,75.03,79.49,85.79,47.82,Kevin Rodriguez,Nutritional therapist,Catherine Palmer,Leisure centre manager,615002,400062,2021,manufacturing,minority,19.1593,72.8427,0.1
20211100090,IT,Dennis Carpenter,9867841246,denniscarpenter@gmail.com,M,66.78,66.03,47.26,62.84,60.78,66.92,4.53,Ronald Schwartz,Gaffer,Natalie Buchanan,Copy,957738,400012,2021,constructions,minority,18.9995,72.8397,0.1
20211100091,EXTC,Norma Huffman,9892895733,normahuffman@gmail.com,F,91.26,74.15,82.74,99.14,63.51,75.25,9.39,Chad Carpenter,Charity fundraiser,Stephanie Johnson,Production engineer,821515,400009,2021,public administrative services,non-minority,18.9583,72.8389,0.1
20211100092,EXTC,Jacqueline Carter,8454966163,jacquelinecarter@gmail.com,F,44.51,57.56,93.85,98.74,78.38,68.73,25.4,John Ruiz Jr.,Media planner,Kelly Patel,"Education officer, environmental",800170,400030,2021,information technology,non-minority,19.0122,72.8219,0.1
20211100093,IT,Brian Murphy,8999328604,brianmurphy@gmail.com,M,48.56,54.18,4.51,72.36,89.25,85.52,65.53,Derek White,Film/video editor,Erin Wilkins,Retail buyer,305950,400085,2021,information technology,non-minority,19.0438,72.9121,0.1
20211100094,COMPS,Heather Brown,9665184480,heatherbrown@gmail.com,F,99.12,76.13,10.98,91.11,51.25,64.87,80.56,Raymond Cervantes,Private music teacher,Amanda West,Magazine features editor,414261,400018,2021,information technology,non-minority,18.9985,72.8174,0.1
20211100095,MECH,Danny Bray,8454912175,dannybray@gmail.com,M,74.68,77.38,44.3,82.49,91.94,50.62,52.2,Robert Kidd,Metallurgist,Brittany Adams,Health physicist,1480091,400081,2021,manufacturing,non-minority,19.1661,72.9646,0.1
20211100096,EXTC,Nathaniel Wilson,8999083469,nathanielwilson@yahoo.com,M,55.01,55.33,69.06,77.78,86.64,95.32,89.64,Derek Holmes,Contracting civil engineer,Kelly Bell,Equality and diversity officer,646087,400003,2021,manufacturing,non-minority,18.9532,72.8353,0.1
20211100097,EXTC,Kathryn Ayala,9004227625,kathrynayala@gmail.com,F,49.19,89.16,56.27,88.55,98.37,55.25,31.78,Christopher Harris,Systems analyst,Cassandra Williams,"Scientist, physiological",794759,400031,2021,constructions,non-minority,19.0133,72.8549,0.1
20211100098,COMPS,Brandon Alexander,9987362738,brandonalexander@gmail.com,M,76.5,94.4,30.7,56.61,97.03,50.98,51.84,Gregory Fox,"Administrator, Civil Service",Melissa Brown,Company secretary,206274,400017,2021,trade transport and hotels,minority,19.0456,72.8537,0.1
20211100099,COMPS,Paul Benitez,9967564410,paulbenitez@gmail.com,M,57.67,70.05,97.86,63.7,94.95,67.24,15.83,Chad Castillo,Dramatherapist,Lisa Joseph,"Copywriter, advertising",227767,400076,2021,constructions,non-minority,19.1239,72.9094,0.1
20211100100,COMPS,Nathan Sanders,8999689006,nathansanders@gmail.com,M,78.06,89.09,62.32,76.21,51.42,93.37,73.25,Patrick Savage,"Designer, graphic",Maria Schroeder,Airline pilot,1043383,400095,2021,constructions,minority,19.1888,72.8197,0.1
20211100101,IT,Samuel Mann,9987599019,samuelmann@gmail.com,M,55.74,85.4,37.2,98.06,86.25,50.82,72.55,David Valencia,Multimedia programmer,Rebecca Carter,Adult guidance worker,1364051,400039,2021,trade transport and hotels,non-minority,18.9223,72.8312,0.1
20211100102,COMPS,Grant Little,9987949829,grantlittle@gmail.com,M,80.07,97.24,15.21,98.64,55.07,90.89,84.02,Aaron Brown,Financial controller,Alexis Perkins,"Radiographer, diagnostic",1115513,400010,2021,public administrative services,minority,18.9702,72.846,0.1
20211100103,EXTC,Gabrielle Daniels,9892837905,gabrielledaniels@gmail.com,F,77.7,62.28,17.83,90.69,63.96,85.87,65.81,Tyler Martinez,"Investment banker, corporate",Kimberly Horton,Location manager,854205,400068,2021,manufacturing,minority,19.2591,72.8338,0.1
20211100104,EXTC,Jorge Evans,9967918204,jorgeevans@yahoo.com,M,57.35,90.3,48.16,81.29,64.86,62.21,48.77,Jamie Harper,"Doctor, general practice",Vanessa Davis,Emergency planning/management officer,248494,400044,2021,communications,minority,19.0633,72.9258,0.1
