sid,stream,name,mob_no,email,gender,x_perc,xii_perc,cet_perc,physics_xii,chem_xii,maths_xii,jee_perc,father_name,father_occupation,mother_name,mother_occupation,parent_income,pincode,year,sector,quota
20211100019,COMPS,Shawn Allen,9987220947,shawnallen@yahoo.com,M,70.41,76.71,51.13,69.56,68.13,69.14,8.3,Tyler Ford,"Engineer, broadcasting (operations)",Kathleen Marks,"Scientist, research (maths)",612744,400044,2019,finance and real estate services,minority
20211100020,COMPS,Robert Mullen,9967248106,robertmullen@gmail.com,M,39.58,65.85,17.95,88.57,69.9,86.97,3.94,Keith Jones,Camera operator,Stephanie Morse,Plant breeder/geneticist,390074,400102,2019,finance and real estate services,minority
20211100021,IT,John Gonzalez,7738836719,johngonzalez@gmail.com,M,61.74,87.16,95.61,89.83,50.32,82.35,78.97,Edwin Wilkinson,Estate agent,Stephanie Banks,"Administrator, local government",524079,400100,2019,finance and real estate services,minority
20211100022,IT,Barbara Walter,9987889814,barbarawalter@yahoo.com,F,77.36,94.34,5.14,62.01,78,62.5,12.5,Charles Edwards,Television production assistant,Heather Cortez,Patent attorney,248816,400082,2019,finance and real estate services,minority
20211100023,MECH,Patrick Herrera,9004233471,patrickherrera@gmail.com,M,37.63,91.33,17.08,59.1,93.86,74.36,23.71,Corey Perez,"Engineer, production",Taylor Little,Clinical research associate,797513,400035,2019,finance and real estate services,minority
20211100024,COMPS,Kimberly Rojas,9665220087,kimberlyrojas@gmail.com,F,89.36,55.42,52.24,66.84,59.01,67.98,42.85,Philip Simmons,"Teacher, music",Veronica Orr,"Doctor, hospital",509243,400010,2019,finance and real estate services,minority
20211100025,IT,Kimberly Lawson,9987237325,kimberlylawson@gmail.com,F,77.83,75.05,59.4,55.15,74.66,75.58,2.41,Steven King,Cartographer,Michelle Gonzales,"Accountant, chartered management",1418756,400004,2019,finance and real estate services,minority
20211100026,COMPS,Michael Escobar,7738483092,michaelescobar@gmail.com,M,70.72,62.37,28.65,70.1,77,66.73,3,Mr. Gary Kerr,Horticultural therapist,Sarah Bennett,Field seismologist,840153,400031,2019,finance and real estate services,minority
20211100027,COMPS,Thomas Castillo,9987343356,thomascastillo@gmail.com,M,66.12,54.51,1.25,89.89,55.66,91.65,13.51,Luis Armstrong,"Lecturer, higher education",Savannah Ware,Ophthalmologist,1482015,400015,2019,finance and real estate services,minority
20211100028,EXTC,Gary Griffith,9892537445,garygriffith@gmail.com,M,95.76,66.74,92.12,79.11,80.83,87.65,62.95,Nicholas White,Animator,Emily Barrett,"Loss adjuster, chartered",528630,400020,2019,finance and real estate services,minority
20211100029,EXTC,Jorge Hernandez,9892018345,jorgehernandez@gmail.com,M,63.46,57.82,60.86,73.3,80.03,50.22,65.84,Thomas Jones,Police officer,Ashley Mccoy,Holiday representative,1250069,400063,2019,finance and real estate services,non minority
20211100030,COMPS,Brian Dennis,8999917357,briandennis@yahoo.com,M,73.69,55.39,70.47,94.03,61.03,58.62,15.97,Bobby Smith,Retail banker,Diana Olsen,Petroleum engineer,1364152,400053,2019,finance and real estate services,non minority
20211100031,COMPS,Walter Davis DDS,7738389652,walterdavisdds@gmail.com,M,70.41,88.83,78.16,54.51,77.21,61.41,25.62,John Houston,Paramedic,Tammy Schmidt,Special effects artist,1214039,400091,2019,trade transport and hotels,non minority
20211100032,MECH,Gary Moody PhD,8999976681,garymoodyphd@gmail.com,M,76.99,70.97,23.2,70.24,71.28,65.97,5.04,Frank King,Clinical molecular geneticist,Michelle Ellis,"Doctor, hospital",451376,400008,2019,trade transport and hotels,non minority
20211100033,IT,Joseph Miller,9665362547,josephmiller@yahoo.com,M,88.88,60.94,89.86,61.19,63.58,90.32,89.33,John Contreras,Financial manager,Tammy Figueroa,Audiological scientist,883814,400061,2019,trade transport and hotels,non minority
20211100034,COMPS,Michael Pratt,9892878701,michaelpratt@hotmail.com,M,55.74,64.23,90.54,75.88,89.82,81.95,26.25,Jeffrey Martinez,Fast food restaurant manager,Debra Vargas,Social worker,188049,400024,2019,trade transport and hotels,non minority
20211100035,EXTC,Kathleen White,9004322796,kathleenwhite@gmail.com,F,93.11,77.94,94.04,74.26,64.86,77.51,66.34,Brian Henderson,Pharmacologist,Tammy Andrade,"Engineer, civil (consulting)",1092132,400005,2019,trade transport and hotels,non minority
20211100036,MECH,Michael Jones,9892275721,michaeljones@yahoo.com,M,81.82,67.18,95.29,83.26,85.82,89.4,6.3,Edward Collier,Accounting technician,Sherri Vega,Neurosurgeon,429693,400074,2019,trade transport and hotels,non minority
20211100037,IT,Steven Hood,9987257871,stevenhood@gmail.com,M,98.92,89.22,91.65,85.34,67.38,71.87,83.04,Matthew Nelson,Housing manager/officer,Heather Greene,Chief Executive Officer,460415,400026,2019,trade transport and hotels,non minority
20211100038,COMPS,Alyssa Fuller,9004867216,alyssafuller@yahoo.com,F,55.14,52.72,74.34,93.93,67.52,51.53,31.38,Bryan Sanchez,Seismic interpreter,Laura Gould,Civil Service fast streamer,1111646,400074,2019,trade transport and hotels,non minority
20211100039,IT,Carl Carter DVM,9987117669,carlcarterdvm@yahoo.com,M,88.51,97.82,99.43,95.46,96.45,61.33,79.86,Kyle Meyers,Legal secretary,Jocelyn Smith,Recycling officer,1129620,400052,2019,trade transport and hotels,non minority
20211100040,COMPS,Stephen Harper,9987183720,stephenharper@gmail.com,M,83,88.69,81.5,75.65,89.23,64.87,4.58,Brian Coleman,Chartered accountant,Sarah Burnett,Industrial buyer,607444,400078,2019,trade transport and hotels,non minority
20211100041,MECH,Seth Palmer,9004941370,sethpalmer@gmail.com,M,56.19,55.51,52.24,54.18,69.44,72.37,14.43,Mr. Timothy Gonzalez Jr.,Maintenance engineer,Michelle Thomas,Operational researcher,1090085,400073,2019,trade transport and hotels,non minority
20211100042,COMPS,Matthew Sanchez,9665958962,matthewsanchez@gmail.com,M,82.11,95.21,6.47,65.4,58.06,75.45,63.75,Andrew Miller,Forensic psychologist,Lisa Moore,Accommodation manager,1027381,400009,2019,trade transport and hotels,non minority
20211100043,EXTC,Robert Pham,7738050591,robertpham@gmail.com,M,47.62,82.17,18.53,54.97,85.29,78.07,81.74,Shawn Knight,Lobbyist,Amy Santana,"Engineer, communications",370460,400065,2019,trade transport and hotels,non minority
20211100044,EXTC,Tommy Yu,9665119657,tommyyu@yahoo.com,M,70.21,96.61,23.8,69.7,60.92,88.86,14,Kevin Walker,"Teacher, music",Lauren Cox,Television production assistant,1006737,400065,2019,trade transport and hotels,non minority
20211100045,EXTC,Mark Kelly,9892786774,markkelly@gmail.com,M,85.95,93.58,4.11,85.64,90.03,52.93,78.81,Scott Brady,"Engineer, petroleum",Anita Ritter,"Loss adjuster, chartered",227735,400037,2019,information technology,non minority
20211100046,EXTC,Keith Frazier,7738125061,keithfrazier@gmail.com,M,44.08,81.39,34.01,63.48,55.93,91.05,73.39,James Hoffman,Industrial/product designer,Susan Gibson,Facilities manager,547175,400065,2019,information technology,non minority
20211100047,EXTC,Troy Fernandez,9004829899,troyfernandez@gmail.com,M,41.56,83.1,8.58,59.74,93.37,94.8,80.85,John Hamilton,Industrial/product designer,Kathy Schneider,Risk analyst,1152386,400089,2019,information technology,non minority
20211100048,EXTC,Shawn Hernandez,8999437240,shawnhernandez@hotmail.com,M,71.94,55.21,77.04,58.65,51.83,76.12,34.82,David Perez,Translator,Jennifer Cunningham,"Psychotherapist, child",1333496,400052,2019,information technology,non minority
20211100049,COMPS,Nathaniel Rivera,8999415669,nathanielrivera@yahoo.com,M,37.59,54.74,82.79,71.88,63.03,70.89,63.73,Caleb Sanders,Chief Marketing Officer,Catherine Roach,"Surveyor, land/geomatics",300666,400012,2019,information technology,non minority
20211100050,IT,John Harris,7738315585,johnharris@gmail.com,M,48.48,57.74,22.82,98.36,81.89,63.79,60.83,Kevin Edwards,Financial controller,Andrea Williams,Health physicist,1099458,400077,2019,information technology,non minority
20211100051,MECH,Tara Ramirez,9004990210,tararamirez@gmail.com,F,44.92,71.23,57.5,58.35,80.27,87.32,20.08,Christian Anderson,"Engineer, maintenance",Tina Miller,Nature conservation officer,276985,400012,2019,information technology,non minority
20211100052,COMPS,Mr. William Kennedy,9665147800,mr.williamkennedy@gmail.com,M,76.3,64.42,60.07,55.31,50.48,65.93,53.86,Dominic Johnson,Ceramics designer,Carla Garcia,Regulatory affairs officer,685983,400006,2019,information technology,non minority
20211100053,COMPS,Brian Robinson,9967326183,brianrobinson@gmail.com,M,82.11,60.07,75.8,81.47,73.33,72.38,32.22,Joshua Douglas,Customer service manager,Emma Ferrell,Press photographer,1413387,400079,2019,information technology,non minority
20211100054,MECH,Brandon Woods,9004555298,brandonwoods@gmail.com,M,49.49,52.76,79.75,79.89,83.64,83.33,7.13,Jackson Walters,Firefighter,Natasha Thompson,Cytogeneticist,1395207,400035,2019,information technology,non minority
20211100055,IT,Melanie Pollard,7738070939,melaniepollard@gmail.com,F,47.3,93.56,90.81,87.77,90.38,56.05,86.41,Connor Stephenson,"Engineer, civil (contracting)",Jessica White,Company secretary,748898,400064,2019,information technology,non minority
20211100056,IT,Justin Frederick,8451898816,justinfrederick@gmail.com,M,59.25,68.6,9.34,87.47,77.17,81.84,60.51,John Barrett,Call centre manager,Christine Bowen,Estate agent,357968,400001,2019,information technology,non minority
20211100057,IT,Catherine Garcia,9867477618,catherinegarcia@gmail.com,F,67.09,66.92,56.68,68.83,59.35,71.39,13.21,Tyler Collins,"Exhibitions officer, museum/gallery",Jennifer Smith,Site engineer,484940,400039,2019,information technology,non minority
20211100058,IT,Robert Smith,9665985119,robertsmith@gmail.com,M,55.31,97.85,26.88,70.95,94.57,98.76,41.88,Michael Dickerson,Materials engineer,Connie Aguilar,"Civil engineer, consulting",1345091,400099,2019,information technology,non minority
20211100059,MECH,David Lynn,9004511858,davidlynn@gmail.com,M,47.17,83.4,42.11,59.83,71.99,89.57,15.16,Mark Jones,Games developer,Rebecca Mason,Clinical cytogeneticist,1026120,400050,2019,information technology,non minority
20211100060,MECH,Ms. Connie Curtis DVM,9867761576,ms.conniecurtisdvm@gmail.com,F,35.3,82.96,75.93,81.5,79.94,53.28,15.97,Aaron Jacobs,"Scientist, biomedical",Melissa Powell,Air traffic controller,456311,400028,2019,information technology,non minority
20211100061,COMPS,Patrick Castillo,9867515496,patrickcastillo@gmail.com,M,81.28,65.24,88.84,78.39,93.67,60.61,84.94,Clayton James,Dramatherapist,Susan Kaiser,Fashion designer,110313,400031,2019,information technology,minority
20211100062,IT,John Campos,8454884723,johncampos@hotmail.com,M,44.22,94.76,35.33,61.42,80.23,51.21,19.44,Timothy Taylor,Warden/ranger,Elizabeth Allison,"Nurse, children's",505277,400041,2019,information technology,minority
20211100063,COMPS,James James,9004338705,jamesjames@gmail.com,M,66.74,95.69,57.76,50.26,91.88,77.69,1.89,Zachary Reid,"Social research officer, government",Gina Chapman,"Administrator, education",1407149,400069,2019,information technology,minority
20211100064,IT,Shaun Lewis,7738591801,shaunlewis@yahoo.com,M,35.97,96.21,13.29,67.27,99,65.78,2.72,Shawn Green,"Editor, film/video",Susan Sanchez,Broadcast presenter,122817,400096,2019,information technology,minority
20211100065,MECH,Justin Wilson,7738721933,justinwilson@gmail.com,M,40.9,75.93,94.44,81.51,79.1,70.38,7.03,David Gilbert,Counselling psychologist,Rebecca Ramsey,"Pilot, airline",1360532,400035,2019,information technology,minority
20211100066,MECH,Seth Brown,9867040008,sethbrown@gmail.com,M,58.41,97.64,87.71,61.34,97.02,64.68,34.94,Nathan Moore,Industrial/product designer,Karen Thomas,Sub,1412802,400053,2019,information technology,minority
20211100067,COMPS,Nicole Gomez,8999877721,nicolegomez@yahoo.com,F,99.42,74.5,63.26,74.36,91.84,80.32,0.62,Dustin Wright,IT consultant,Jessica Ortiz,Health physicist,1297230,400060,2019,information technology,minority
20211100068,IT,Eugene Mcdonald,9004416078,eugenemcdonald@gmail.com,M,65.88,57.21,60.34,60.62,79.07,70.64,54.08,Robert Harvey,Land/geomatics surveyor,Susan Thornton,Clinical cytogeneticist,655990,400001,2019,information technology,minority
20211100069,COMPS,Tyler Robinson,8454054192,tylerrobinson@yahoo.com,M,44.73,56.13,26.54,78.63,56.2,70.85,16.96,Peter Rodriguez,Farm manager,Elizabeth Figueroa,Facilities manager,714212,400093,2019,information technology,minority
20211100070,EXTC,Kenneth Cruz,9665672356,kennethcruz@gmail.com,M,60.13,54.89,91.34,56.59,78.78,89.81,12.69,Scott Davila,Museum/gallery conservator,Karen Parsons,Equality and diversity officer,1465702,400069,2019,information technology,minority
20211100071,IT,Mr. Jeffrey Lopez,9967121553,mr.jeffreylopez@gmail.com,M,68.72,53.74,77.74,79.49,63.8,74.38,72.52,Tony Soto,Social researcher,Suzanne Parker,Early years teacher,1369184,400092,2019,information technology,minority
20211100072,EXTC,Arthur Donovan,9987163632,arthurdonovan@gmail.com,M,97.13,62.43,10.71,71.83,85.05,85.04,2.71,Shane Matthews,Dance movement psychotherapist,Katherine Maynard,Gaffer,618439,400019,2019,information technology,minority
20211100073,EXTC,Emily Ramos,9967174481,emilyramos@yahoo.com,F,99.26,51.24,4.56,89.96,58.21,97.01,51.84,William Anderson,Transport planner,Julie Sanchez,"Social research officer, government",363143,400004,2019,information technology,minority
20211100074,COMPS,William Barker,9967223026,williambarker@hotmail.com,M,43.97,76.96,85.85,67.64,80.72,79.36,87.92,Justin Mullins,Art gallery manager,Kayla Finley,Phytotherapist,958628,400073,2019,information technology,minority
20211100075,COMPS,Thomas Owens,9967463379,thomasowens@gmail.com,M,94.39,87.53,93.07,75.64,81.64,74.89,25.11,Michael Taylor,Publishing copy,Christine Cooper,"Development worker, community",910419,400095,2019,information technology,minority
20211100076,IT,Wendy Jensen,9987988820,wendyjensen@hotmail.com,F,55.02,85.31,54.4,61.15,55.59,74.68,71.83,Joel Jones,Freight forwarder,Erica Logan,"Chemist, analytical",765727,400072,2019,information technology,minority
20211100077,COMPS,Gerald Freeman,8451013980,geraldfreeman@gmail.com,M,54.94,96.75,17.91,59.04,64.93,67.54,23.51,Chase Mack,Operational researcher,Jody Rogers,"Designer, jewellery",902166,400062,2019,agriculture and forestry,minority
20211100078,MECH,Robert Stevens,9665616740,robertstevens@gmail.com,M,51.84,95.51,84.34,65.04,74.89,72.44,29.29,Tyler Reeves,"Designer, industrial/product",Elizabeth Barnes,Ship broker,1421752,400007,2019,agriculture and forestry,minority
20211100079,MECH,Tyler Nguyen,9665540371,tylernguyen@gmail.com,M,73.38,98.72,13.08,59.75,70.02,89.84,62.13,Matthew Walters,Community education officer,Kelly Johnson,Exercise physiologist,1426574,400058,2019,agriculture and forestry,minority
20211100080,MECH,Jose Snyder,9004738629,josesnyder@yahoo.com,M,52.59,68.13,88.47,69.6,84.36,86.84,81.63,Timothy Rhodes,Radio producer,Stephanie Patterson DVM,Structural engineer,1230611,400023,2019,agriculture and forestry,minority
20211100081,EXTC,Patrick Powell,8999586034,patrickpowell@yahoo.com,M,71.7,67.04,21.24,66.11,99.7,51.87,67.51,Ian Pope,"Copywriter, advertising",Katie Gomez,Ophthalmologist,558586,400029,2019,agriculture and forestry,minority
20211100082,EXTC,Darlene Choi,9987966635,darlenechoi@gmail.com,F,68.9,58.44,50.93,94.4,59.34,93.92,81.9,Sean Carey,Furniture conservator/restorer,Christina Adams,Chief Executive Officer,511985,400062,2019,agriculture and forestry,minority
20211100083,MECH,Yolanda Savage,8999191435,yolandasavage@gmail.com,F,41.63,99.62,82.3,71.15,92.29,69.31,71.5,Jordan Garcia,Media buyer,Rita Fischer,Trade union research officer,1416989,400102,2019,agriculture and forestry,minority
20211100084,COMPS,Charles Williams,9892313264,charleswilliams@gmail.com,M,40.31,84.21,62.45,51.88,98.53,72.53,45.65,Micheal Thompson,Consulting civil engineer,Heather Hill,"Engineer, maintenance (IT)",169485,400035,2019,agriculture and forestry,minority
20211100085,EXTC,Calvin Johnston,9665986731,calvinjohnston@gmail.com,M,62.45,99.99,87.29,60.22,65.16,90.06,9.76,Jacob Weber,"Civil engineer, consulting",Jamie Hart,Neurosurgeon,1433361,400101,2019,agriculture and forestry,minority
20211100086,MECH,David Lopez,9967586641,davidlopez@yahoo.com,M,53.07,60.97,32.77,60.35,90.49,57.88,39.07,Mark King,Textile designer,Karen Lewis,Health physicist,1173555,400005,2019,agriculture and forestry,minority
20211100087,EXTC,Glenn Bryant,9892549048,glennbryant@gmail.com,M,65.25,60.5,28.15,79.01,57.83,55.18,42.11,Franklin Russo,"Engineer, chemical",Sarah Foster,"Editor, commissioning",121899,400007,2019,agriculture and forestry,minority
20211100088,EXTC,David Cox,9665052451,davidcox@gmail.com,M,94.12,91.38,49.08,78.11,86.02,59.71,71.22,Todd White,Ambulance person,Jennifer Dunn,Waste management officer,980151,400094,2019,agriculture and forestry,minority
20211100089,COMPS,Charles Harding,9892041803,charlesharding@gmail.com,M,97.27,86.26,85.86,92.28,79.27,72.54,48.24,Troy Davis,Farm manager,Tracy Larson,Chief of Staff,1475214,400060,2019,agriculture and forestry,minority
20211100090,COMPS,Jessica Roberts,9665540516,jessicaroberts@gmail.com,F,97.39,94.54,19.16,83.12,59.08,50.87,6.46,David Pham,"Social research officer, government",Alexis Morris,TEFL teacher,1400604,400043,2019,agriculture and forestry,minority
20211100091,COMPS,Diana Snyder,8454957825,dianasnyder@gmail.com,F,71.56,95.82,57.99,65.44,98.56,50.99,3.53,Joseph Chaney,Gaffer,Kristin Hernandez MD,Magazine journalist,488616,400094,2019,agriculture and forestry,minority
20211100092,IT,Michelle Robinson,9004948974,michellerobinson@gmail.com,F,95.03,95.94,4.33,72.29,69.39,53.92,35.12,Brian Howard,Corporate treasurer,Kaylee Ramos,Clinical molecular geneticist,1390148,400076,2019,agriculture and forestry,minority
20211100093,COMPS,Charles Hines,9004864913,charleshines@gmail.com,M,70.5,85.51,87.56,60.15,92.92,62.5,17.12,Jeremy Williams,"Engineer, biomedical",Sally Salinas,"Presenter, broadcasting",572315,400068,2019,agriculture and forestry,minority
20211100094,EXTC,Mark Todd,9867429670,marktodd@gmail.com,M,40.41,64.87,71.72,70.02,77.72,81.31,38.32,James Miles,Corporate treasurer,Heather Kim,Clinical embryologist,1375742,400004,2019,agriculture and forestry,minority
20211100095,IT,John Bennett,7738934198,johnbennett@yahoo.com,M,79.91,94.65,46.24,74.58,71.79,57.53,72.36,Jerry Roach,"Therapist, horticultural",Jennifer Rogers,Podiatrist,270946,400086,2019,agriculture and forestry,minority
20211100096,MECH,Matthew Reynolds,7738338702,matthewreynolds@gmail.com,M,46.31,91.81,70.39,89.27,73.45,75.91,88.48,Mr. William Cooper,"Surveyor, commercial/residential",Michaela Bates,Aid worker,540588,400067,2019,agriculture and forestry,non minority
20211100097,COMPS,Donna Cook,9967914226,donnacook@gmail.com,F,81.45,87.74,46.22,65.85,68.46,74.81,48.15,Jason Hanson,Insurance claims handler,Heather Steele,Economist,411515,400035,2019,agriculture and forestry,non minority
20211100098,EXTC,Derek Jones,9892782728,derekjones@yahoo.com,M,62.05,63,81.5,65.17,95.5,74.09,10.38,Glen Bowen,Marine scientist,Jamie Dennis,"Psychologist, occupational",978549,400095,2019,agriculture and forestry,non minority
20211100099,IT,Kenneth Evans,9892419492,kennethevans@gmail.com,M,43.89,74.96,77.29,72.2,90.82,88.55,16.48,Timothy Daniels,Research scientist (life sciences),Megan Perez,Museum/gallery exhibitions officer,174634,400027,2019,agriculture and forestry,non minority
20211100100,EXTC,David Caldwell,8999031534,davidcaldwell@yahoo.com,M,59.96,68.17,82.36,86.06,74.63,81,63.26,Robert Jackson,"Designer, jewellery",Lisa Barr,Environmental education officer,570920,400027,2019,agriculture and forestry,non minority
20211100101,COMPS,Sheila Solomon,9004136060,sheilasolomon@gmail.com,F,87.03,82.33,61.97,86.48,85.62,61.77,55.15,Brian Mendoza,"Development worker, community",Elizabeth Hoover,"Psychologist, forensic",827111,400087,2019,agriculture and forestry,non minority
20211100102,COMPS,Austin Nelson,8450947622,austinnelson@gmail.com,M,89.97,98.16,4.57,68.46,92.92,66.87,4.12,Matthew Stone,Tourist information centre manager,Patricia Stein,Site engineer,1294196,400062,2019,agriculture and forestry,non minority
20211100103,MECH,Mark Gonzalez,9665017565,markgonzalez@gmail.com,M,48.55,66.4,94.05,69.32,58.83,52.51,84.4,Devin Williams,Advertising copywriter,Alexis Tapia,Clinical research associate,966611,400089,2019,agriculture and forestry,non minority
20211100104,EXTC,Diane Snyder,9967456065,dianesnyder@gmail.com,F,57.76,86.89,96.4,72.32,51.55,83.09,23.99,Joseph Gonzalez,Nature conservation officer,Kayla Fuentes,Database administrator,1061207,400030,2019,agriculture and forestry,non minority
20211100105,EXTC,Ian Smith,9987436074,iansmith@hotmail.com,M,95.88,79.52,18.47,79.77,52.84,67.57,57.23,James Delgado,Hydrographic surveyor,Angela Thomas,"Journalist, broadcasting",594080,400057,2019,agriculture and forestry,non minority
20211100106,IT,Mark Moore,9967163923,markmoore@gmail.com,M,49.32,65.83,1.08,96.92,65.45,58.04,25.28,Mr. Jeffrey Davis DVM,"Teacher, secondary school",Jenna Campbell,Marine scientist,414012,400095,2019,agriculture and forestry,non minority
20211100107,COMPS,Matthew Dickerson,8999098236,matthewdickerson@gmail.com,M,87.97,64.25,41.15,86.08,51.35,81.45,50.61,Jay Zuniga,"Nurse, adult",Angela Mckinney,Actor,161130,400053,2019,agriculture and forestry,non minority
20211100108,COMPS,Mike Aguirre,9967818144,mikeaguirre@gmail.com,M,87.24,51.59,5.83,54.31,66.59,81.53,80.42,Timothy Schroeder,Fisheries officer,Lisa Jones,Technical author,831094,400068,2019,agriculture and forestry,non minority
20211100109,IT,Kathy Escobar,8452828490,kathyescobar@gmail.com,F,67.43,89.89,49.22,68.92,89.5,96.75,55.19,Brian Powell,Bookseller,Kathleen Brown,Broadcast journalist,1086571,400089,2019,agriculture and forestry,non minority
20211100110,MECH,Dominique Williams,9004693378,dominiquewilliams@hotmail.com,F,47.05,70.61,77.49,95.48,65.98,60.03,42.63,Joshua Davis,Professor Emeritus,Brenda Johnson,"Scientist, marine",1390422,400085,2019,agriculture and forestry,non minority
20211100111,EXTC,Dana Carter,9967047241,danacarter@gmail.com,F,88.94,64.85,64.83,91.61,97.58,81.2,3.95,Brian Kim,Geophysical data processor,Cassandra Bridges,Haematologist,1248772,400007,2019,agriculture and forestry,non minority
20211100112,EXTC,Jordan Myers,9867847617,jordanmyers@gmail.com,M,63.79,72.71,14.21,70.96,64.69,72.66,1.45,Scott Ashley,Meteorologist,Nicole Franklin,Administrator,1488009,400026,2019,agriculture and forestry,non minority
20211100113,EXTC,Luis Hudson,8999927505,luishudson@yahoo.com,M,35.9,94.25,40.85,54.54,66.41,99.22,41.56,Steven White,"Nurse, children's",Rachel Frey,"Engineer, energy",274553,400091,2019,agriculture and forestry,non minority
20211100114,COMPS,David Fischer,9665189674,davidfischer@gmail.com,M,66.43,63.12,1.27,87.55,93.66,94.88,59.85,Matthew Smith,"Solicitor, Scotland",Catherine Mcdonald,Careers information officer,598129,400004,2019,agriculture and forestry,non minority
20211100115,MECH,Rachel Morris,8999640783,rachelmorris@yahoo.com,F,77.8,92.81,73.45,69.53,62.76,63.41,53.14,Benjamin Schwartz,Architectural technologist,Emily Stewart,Forensic psychologist,499329,400051,2019,agriculture and forestry,non minority
