sid,stream,name,mob_no,email,gender,x_perc,xii_perc,cet_perc,physics_xii,chem_xii,maths_xii,jee_perc,father_name,father_occupation,mother_name,mother_occupation,parent_income,pincode,minority
20211100030,EXTC,Marc Hernandez,8452047517,marchernandez@gmail.com,M,99.31,83.07,58.56,52.64,67.35,70.11,56.95,Philip Freeman,Probation officer,Megan Goodman,"Conservator, furniture",1357623,400068,non-minority
20211100031,EXTC,Charles King,9665989637,charlesking@yahoo.com,M,59.58,67.36,17.49,76.76,63.33,94.45,53.48,Jeffrey Salinas,Merchant navy officer,Dawn Chambers,"Embryologist, clinical",857931,400001,non-minority
20211100032,MECH,Anthony Smith,8452071720,anthonysmith@gmail.com,M,43.13,68.77,28.09,54.61,91.69,77.72,49.68,James Robinson,"Geologist, wellsite",Carolyn Green,Dancer,555115,400062,non-minority
20211100033,MECH,Andrew Bass,8999865987,andrewbass@yahoo.com,M,74.58,78.24,74.68,81.26,92.11,62.83,44.94,Patrick Velazquez,Hydrographic surveyor,Taylor Munoz,Freight forwarder,1412679,400098,non-minority
20211100034,EXTC,Sean Bell,9892468751,seanbell@gmail.com,M,88.91,74.13,63.7,95.55,56.18,64.92,0.48,John Strong,Civil Service fast streamer,Mary Mills,Cytogeneticist,1377592,400019,non-minority
20211100035,MECH,Russell Collins,9004486549,russellcollins@gmail.com,M,75.58,64.24,88.64,87.12,91.74,88.75,15.45,Anthony Hicks,Materials engineer,Diana Perkins,Advertising copywriter,664996,400045,non-minority
20211100036,IT,Joel York,9004232065,joelyork@gmail.com,M,51.01,98.14,5.86,74.39,89.25,72.18,64.1,Thomas Gonzales,Museum/gallery exhibitions officer,Mrs. Sandra Johnson,"Pharmacist, community",962695,400066,non-minority
20211100037,COMPS,Linda Johnson,8999052987,lindajohnson@yahoo.com,F,99.7,92.01,42.69,96.87,56.32,72.41,44.27,Sean Larsen,Hydrologist,Robin Gutierrez,Textile designer,1483041,400033,non-minority
20211100038,EXTC,Matthew Bolton,9967846211,matthewbolton@gmail.com,M,87.29,89.28,86.42,68.63,89.13,73.23,76.5,Shaun King,Ambulance person,Mary Anderson,"Therapist, nutritional",885215,400018,non-minority
20211100039,EXTC,Kayla Summers,7738667211,kaylasummers@hotmail.com,F,50.51,53.16,92.46,94.18,83.41,99.65,16.43,Ruben Bridges,"Surveyor, building",Tanya Burgess,Secretary/administrator,1446095,400039,non-minority
20211100040,MECH,Joseph Young,9665491309,josephyoung@gmail.com,M,66.57,67.5,37.8,75.63,59.56,71.09,26.89,Alexander Villa,"Education officer, community",Elizabeth Blankenship,"Librarian, academic",217053,400019,non-minority
20211100041,MECH,Kenneth Hubbard,9867198677,kennethhubbard@gmail.com,M,43.69,89.93,50.79,80.77,67.96,67.74,83.35,Brandon Cox,Insurance risk surveyor,Angela Lopez,"Designer, furniture",668040,400083,non-minority
20211100042,IT,Alexandria Estrada,9987788231,alexandriaestrada@yahoo.com,F,74.93,86.73,35.59,55.73,71.07,94.46,7.52,Anthony Jones,Environmental education officer,Jodi Morgan,Chartered management accountant,837704,400093,non-minority
20211100043,IT,Julia Barber,8999714137,juliabarber@gmail.com,F,92.56,79.05,83.34,50.59,80.89,78.04,0.38,Eric Fields,Network engineer,Ariel Rojas,Telecommunications researcher,1233941,400093,non-minority
20211100044,MECH,Scott Bell,9004638188,scottbell@yahoo.com,M,89.13,58.58,35.35,96.91,93.55,56.72,88.68,Jose Mooney,Chartered certified accountant,Mrs. Lisa Simmons,"Psychologist, forensic",988298,400010,non-minority
20211100045,COMPS,Stephanie Boyle,9665891560,stephanieboyle@hotmail.com,F,83.78,55.23,7.48,58.88,64.63,96.36,73.08,Michael King,Emergency planning/management officer,Danielle Mendoza,"Editor, magazine features",457307,400101,non-minority
20211100046,MECH,Robert Ortiz,9867941314,robertortiz@gmail.com,M,36.27,68.02,69.55,78.24,84.48,82.85,64.68,David Mullins,"Engineer, technical sales",Ashley Mccall,Learning disability nurse,413854,400005,non-minority
20211100047,MECH,Jason Fox,8999247930,jasonfox@gmail.com,M,52.97,82.09,31.46,69.74,50.1,69.39,2.43,Mr. Kyle Kirk,Equities trader,Anna Hancock,"Engineer, structural",1160634,400001,non-minority
20211100048,MECH,Kaitlin Ellis,9867271289,kaitlinellis@gmail.com,F,46.81,94.99,27.92,57.21,63.49,58.33,37.86,Johnny Carpenter,Licensed conveyancer,Lindsey Hernandez,Operational researcher,575760,400091,non-minority
20211100049,EXTC,Linda Chavez,7738971618,lindachavez@yahoo.com,F,67.5,95.07,39.2,61.46,80.29,99.25,23.68,Michael Barr,"Conservation officer, historic buildings",Vanessa Christensen,Theatre manager,627736,400045,non-minority
20211100050,IT,Todd Santiago,9987212650,toddsantiago@yahoo.com,M,57.33,76.15,51.06,81.05,95.43,84.73,77.29,Terry Harrison,Research scientist (medical),Amanda Newman,"Surveyor, commercial/residential",501386,400095,non-minority
20211100051,EXTC,Daniel Moore,9867510127,danielmoore@gmail.com,M,86.72,86.01,2.78,53,79.76,96.58,23.45,Christopher Ortega,Make,Ann Durham,"Secretary, company",945798,400097,non-minority
20211100052,MECH,Emily Olson,9004165401,emilyolson@gmail.com,F,82.51,64.1,2.1,61.9,86.28,61.56,63.59,Shawn Mckenzie,"Scientist, biomedical",Pamela Reed,Research scientist (medical),155305,400098,non-minority
20211100053,EXTC,Tyler Roy,9867680981,tylerroy@yahoo.com,M,80.76,98.72,22.05,56.14,74.46,71.16,59.33,Jonathan Wang,Web designer,Emily Carter,Waste management officer,1136818,400019,non-minority
20211100054,EXTC,Michelle Brown,9867418420,michellebrown@gmail.com,F,78.95,81.23,78.5,77.04,99.7,71.3,76.43,Jesse Poole,Surgeon,Jessica Potts,Trading standards officer,848497,400078,christian
20211100055,COMPS,Mr. Charles Horton,9967934798,mr.charleshorton@gmail.com,M,61.62,97.57,37.87,54.69,93.13,67.38,84.05,Eric Williams,Scientific laboratory technician,Amanda Williams,Cabin crew,678243,400020,christian
20211100056,EXTC,Jesse Bolton,9967531931,jessebolton@gmail.com,M,54.29,68.54,70.24,84.48,67.39,78.96,12.34,Taylor Johnston,"Geologist, engineering",Anita Garner,"Investment banker, operational",208957,400068,christian
20211100057,EXTC,Robert Stokes,8999369822,robertstokes@gmail.com,M,67.02,91.76,80.26,70.61,60.67,89.27,68.41,Tony Davis,"Engineer, electrical",Kelsey Torres,Chartered legal executive (England and Wales),723968,400068,christian
20211100058,MECH,Michelle White,9987582435,michellewhite@yahoo.com,F,46.01,66.11,42.96,76.48,97.36,87.74,5.39,Louis Mendez,Network engineer,Kristen Trujillo,Chemical engineer,524385,400075,christian
20211100059,EXTC,Aaron Williams,9004470570,aaronwilliams@gmail.com,M,69.39,95.67,10.46,57.9,59.29,77.03,78.73,Justin Jackson,Further education lecturer,Allison Ford,Heritage manager,1357274,400011,christian
20211100060,MECH,Richard Cole,9867193461,richardcole@gmail.com,M,46.33,91.66,91.26,90.5,64.94,77.1,1.01,Eric Lucas,Dentist,Christine Prince,"Engineer, manufacturing",1007093,400008,christian
20211100061,COMPS,Elizabeth Johnson,7738567531,elizabethjohnson@gmail.com,F,76.28,84.13,69.89,96.48,96.57,55.16,8.8,Michael Moses,Surgeon,Kristin Perkins,Commercial art gallery manager,891581,400033,christian
20211100062,MECH,Michael Mendoza,9004775787,michaelmendoza@gmail.com,M,75.14,69.97,47.28,70.53,68.32,89.09,14.79,Aaron Clark,Dance movement psychotherapist,Pamela Gilbert,Geochemist,935822,400053,christian
20211100063,IT,David Watson,9004914848,davidwatson@yahoo.com,M,64,86.2,96.62,75.87,91.07,98.44,20.83,Mathew Hobbs,"Therapist, nutritional",Krystal Collins,"Engineer, civil (contracting)",684445,400050,christian
20211100064,COMPS,Charles Lee,9004994107,charleslee@gmail.com,M,85.02,57.1,21.34,86.98,98.05,50.43,71.1,Adam Gibson,Medical technical officer,Jasmine White,Dispensing optician,908287,400024,christian
20211100065,EXTC,Brad Ayers,9987969926,bradayers@gmail.com,M,87.57,93.33,16.6,60.99,80.45,85.88,67.99,Tyler Crane,Haematologist,Samantha Nguyen,Ceramics designer,1470923,400100,christian
20211100066,EXTC,Barbara Solomon,7738367431,barbarasolomon@yahoo.com,F,95.17,53.57,27.13,59.63,73.53,60.59,61.54,Miguel Delacruz,Call centre manager,Rhonda Cameron,Veterinary surgeon,1404861,400094,christian
20211100067,MECH,Michael Clarke,7738094588,michaelclarke@hotmail.com,M,46.7,84.24,7.58,81.65,83.51,53.4,12.8,Francisco Mack,"Journalist, magazine",Stephanie May,Comptroller,1468393,400102,christian
20211100068,MECH,Amy Levine,8999925749,amylevine@gmail.com,F,87.87,94.81,0.65,78.13,58.01,72.51,19.79,Jesse Evans,"Scientist, clinical (histocompatibility and immunogenetics)",Brittany Frederick,Geophysicist/field seismologist,482758,400006,christian
20211100069,MECH,Tina Sawyer,9665226405,tinasawyer@yahoo.com,F,42.74,75.63,90.8,72.14,66.72,83.72,42.27,Ryan Shaffer,Chief Marketing Officer,Kristy Johns,Technical brewer,429123,400071,christian
20211100070,EXTC,Frank Sherman,8454926707,franksherman@gmail.com,M,54.14,99.92,20.62,60.07,54.03,87.06,16.34,Christopher Benson,"Administrator, education",Veronica Campbell,Ophthalmologist,666062,400009,christian
20211100071,IT,Michael Allen,9665579076,michaelallen@yahoo.com,M,97.42,81.23,21.46,67.13,74.24,65.97,78.73,Daniel Brown,Clinical biochemist,Melissa Gray,Archivist,957473,400093,christian
20211100072,IT,David Rivera,9967139601,davidrivera@gmail.com,M,99.22,88.01,37.55,96.97,89.32,83.67,89.68,Anthony Williamson,Ecologist,Kimberly Johnson,Product designer,759294,400019,christian
20211100073,MECH,Jennifer Matthews,9987087643,jennifermatthews@gmail.com,F,42.32,56.52,60.91,67.14,53.51,88.26,64.18,Eric Navarro,Animal nutritionist,Ashley Valencia,Financial trader,678261,400012,christian
20211100074,MECH,Richard Austin II,9665229017,richardaustinii@gmail.com,M,41.73,51.35,66.6,82.56,74.54,79.64,48.71,James Wright,Applications developer,Donna Davis,"Scientist, research (medical)",531052,400085,christian
20211100075,EXTC,Jonathan Ramirez,9665581960,jonathanramirez@gmail.com,M,48.78,85.32,19.47,63.86,60.22,56.95,26.91,Michael Ramsey,"Production assistant, television",Elizabeth Martin,"Psychologist, occupational",734029,400095,christian
20211100076,COMPS,Benjamin Gibson MD,8999064439,benjamingibsonmd@gmail.com,M,84.77,55.08,51.55,63.81,56.89,74.88,10.47,Gene Jones,Risk manager,Angela Wright,Advice worker,1152592,400087,christian
20211100077,COMPS,Raymond Williams,8999118401,raymondwilliams@gmail.com,M,41.55,59.64,69.26,77.36,89.52,72.29,76.12,Larry Dudley,"Journalist, magazine",Paula Vincent,"Doctor, hospital",1484245,400030,christian
20211100078,MECH,Ryan Turner,7738943954,ryanturner@yahoo.com,M,47.82,66.4,22.75,66.04,60.45,65.23,18.17,Paul Edwards,Dramatherapist,Nicole Tucker,"Psychologist, counselling",453983,400093,christian
20211100079,MECH,Cynthia Roberts,9987462241,cynthiaroberts@gmail.com,F,66.07,51.29,84.81,76.74,95.96,81.12,42.54,Joshua Gonzales,Retail banker,Felicia Collins,Nutritional therapist,1413705,400052,christian
20211100080,COMPS,Bryce Hughes,9892386206,brycehughes@gmail.com,M,37.98,94.45,80.5,59.48,68.42,78.04,21.94,Daniel Hill,Control and instrumentation engineer,Brooke Mcguire,"Administrator, education",451800,400041,christian
20211100081,COMPS,Paul Green,8454885590,paulgreen@gmail.com,M,64.01,64.2,54.31,97.2,97.59,69.32,72.49,Daniel Mcgrath,"Engineer, petroleum",Deborah Smith DVM,"Therapist, speech and language",811810,400059,christian
20211100082,COMPS,Robert Hanson,9665079418,roberthanson@yahoo.com,M,44.04,54.3,64.36,77.37,90.15,61.15,6.09,James Bell,"Teacher, primary school",Sherry Harper,Counsellor,1038152,400050,christian
20211100083,EXTC,Nathan Johns,8999883088,nathanjohns@yahoo.com,M,95.27,51.31,79.3,57.13,82.84,51.19,52,William Poole,Geophysical data processor,Ashley Cowan,Holiday representative,214503,400041,non-minority
20211100084,IT,Leslie Wood,9004912744,lesliewood@gmail.com,F,97.85,95.61,77.22,92.02,76.1,89.49,1.88,Casey Cox,Trade mark attorney,Jessica Mitchell,Quarry manager,1352864,400021,non-minority
20211100085,COMPS,Hannah Moran,9892449521,hannahmoran@hotmail.com,F,84.9,66.41,30.41,54.06,73.57,71.85,88.78,Corey Wade,Air traffic controller,Tammy Lee,Therapeutic radiographer,1379335,400062,non-minority
20211100086,COMPS,Kendra King,9967785490,kendraking@gmail.com,F,85.72,75.39,59.92,59.44,81.89,75.31,1.55,Scott Dennis,"Engineer, automotive",Julia Burton DDS,Recruitment consultant,164940,400062,non-minority
20211100087,IT,Justin Brown,8999550611,justinbrown@gmail.com,M,41.55,65.95,78.86,67.12,91.03,55.15,10.93,Andrew Campbell,Civil Service administrator,Mary Swanson,Paediatric nurse,183350,400065,non-minority
20211100088,EXTC,John Deleon,9892633753,johndeleon@gmail.com,M,81.29,86.07,57.14,58.04,75.72,60.15,29.75,John Strong,Public relations account executive,Stephanie Ford,Management consultant,746283,400033,non-minority
20211100089,MECH,Michael Cooper,8999222174,michaelcooper@gmail.com,M,62.3,59,87.25,61.52,71.23,72.22,53.02,Adrian Webb,"Scientist, research (medical)",Donna Sherman,Translator,1374446,400016,non-minority
20211100090,COMPS,William Murray,8452838394,williammurray@yahoo.com,M,55.85,97.23,24.62,61.35,71.77,75.01,39.2,Dustin Cook,Sales promotion account executive,Michele Duncan,"Engineer, biomedical",1188683,400101,non-minority
20211100091,EXTC,Sharon White,9892061719,sharonwhite@gmail.com,F,98.82,81.63,20.95,50.89,51.71,62.72,23.04,Michael Novak,Museum/gallery exhibitions officer,Teresa Craig,Environmental manager,371059,400077,non-minority
20211100092,COMPS,Peter Reyes Jr.,9004121330,peterreyesjr.@gmail.com,M,84.29,89.71,81.61,99.16,52.05,61.71,19.27,David Estes,Patent attorney,Nicole Hicks,Occupational psychologist,1250375,400084,non-minority
20211100093,MECH,Joshua Williams,8999727155,joshuawilliams@gmail.com,M,97.2,81.1,64.8,84.46,79.21,73.37,63.41,James Woods,"Designer, blown glass/stained glass",Melinda Chavez,Diplomatic Services operational officer,1258157,400027,non-minority
20211100094,COMPS,Tina Hatfield,9665852214,tinahatfield@gmail.com,F,99.34,60.91,50.74,75.38,88.67,82.8,89.9,William Valentine,Chief Strategy Officer,Elizabeth Rodriguez,Mechanical engineer,688609,400011,non-minority
20211100095,EXTC,Mark Gibbs,7738677160,markgibbs@gmail.com,M,91.88,56.59,10.11,65.66,80.42,65.54,2.9,Mr. Joseph Oliver,Drilling engineer,Cynthia Gardner,"Teacher, English as a foreign language",1017127,400048,non-minority
20211100096,EXTC,Tina George,8999514991,tinageorge@gmail.com,F,90.67,55.15,41.29,91.71,52.03,83.48,51.24,Thomas Case,Occupational therapist,Deborah Small,"Presenter, broadcasting",154313,400082,non-minority
20211100097,COMPS,Michael Franklin,9987691324,michaelfranklin@gmail.com,M,39.01,75.84,0.52,64.82,64.19,92.67,83.49,Franklin Silva,Magazine features editor,Maria Freeman,Operational researcher,234222,400090,non-minority
20211100098,EXTC,Keith Smith,8454059904,keithsmith@gmail.com,M,81.08,84.5,45.12,79.49,75.21,78.48,29.04,Matthew Henderson,Special educational needs teacher,Catherine Thomas,Office manager,1290608,400004,non-minority
20211100099,EXTC,Joseph Morgan,9892313871,josephmorgan@gmail.com,M,60.59,68.54,53.86,91.68,64.66,97.54,51.14,Daniel Deleon,Personal assistant,Melissa Bell,Community arts worker,391941,400101,non-minority
20211100100,EXTC,Lisa Willis,9665740374,lisawillis@yahoo.com,F,53.56,72.64,63.04,89.31,58.17,82.44,86.08,Sean Schroeder,Tourist information centre manager,Felicia Blankenship,Colour technologist,1441918,400075,non-minority
20211100101,IT,Elizabeth Bryan,8999510946,elizabethbryan@gmail.com,F,48.25,75.78,52.38,86,64.9,82.74,60.45,David Wu,"Therapist, occupational",Alicia Jones,Counselling psychologist,458016,400078,non-minority
20211100102,EXTC,Gary Lopez,9867751761,garylopez@gmail.com,M,74.28,84.49,43.96,61.18,98.65,65.35,9.09,James Page,Insurance risk surveyor,Latoya Haynes,Mental health nurse,721893,400102,non-minority
20211100103,IT,James Gibbs,9987297810,jamesgibbs@gmail.com,M,38.04,69.86,62.55,79.83,87.02,73.27,3.68,Jack Hill,Teaching laboratory technician,Melanie Taylor,Tax adviser,1439304,400078,non-minority
20211100104,MECH,Mark Black,8999371892,markblack@yahoo.com,M,84.69,98.01,83.19,69.89,97.15,85.64,15.53,Brian Case,Quantity surveyor,Sheila Thomas,Animal technologist,840329,400011,non-minority
20211100105,MECH,Joseph Church,9665073957,josephchurch@gmail.com,M,51.45,63.43,87.48,91.2,65.94,75.81,34.28,Christian Cochran,Futures trader,Debbie Cunningham,Building control surveyor,777946,400068,non-minority
20211100106,COMPS,David Gilmore,9867547288,davidgilmore@gmail.com,M,47.28,59.2,37.7,72.06,54.77,71.61,82.98,Jason Edwards,Field trials officer,Nicole Bowen,Associate Professor,1352873,400034,non-minority
20211100107,MECH,Steve Saunders,8999078163,stevesaunders@gmail.com,M,96.58,76.85,0.91,59.07,94.99,90.89,32.48,Dylan Fuller,"Engineer, water",Patricia Davis,Historic buildings inspector/conservation officer,359220,400031,non-minority
20211100108,IT,Christopher Martin,7738926397,christophermartin@yahoo.com,M,79.57,53.4,72.26,70.1,77.75,57.56,70.65,Christopher Fowler,Film/video editor,Traci Rogers,"Restaurant manager, fast food",1369116,400019,non-minority
20211100109,IT,Kevin Evans,8999456149,kevinevans@hotmail.com,M,81.71,79.47,31.3,87.81,99.83,54.63,27.81,Tim Simpson,Chartered legal executive (England and Wales),Tracy Kim,Print production planner,275589,400101,non-minority
20211100110,COMPS,Paul Clayton,9967422961,paulclayton@gmail.com,M,62.25,79.39,72.59,86.7,97.61,73.17,11.53,Bradley Hart,"Surveyor, commercial/residential",Erica Fox,Ambulance person,964027,400003,non-minority
20211100111,EXTC,Kimberly Robinson,9892511258,kimberlyrobinson@gmail.com,F,80.22,94.11,8.35,55.41,92.2,60.34,5.64,Anthony Hampton,Nutritional therapist,Linda Calderon,Web designer,477472,400088,non-minority
20211100112,IT,Tammy Solomon,9892545828,tammysolomon@hotmail.com,F,60.24,99.03,25.97,96.49,70.18,93.1,75.72,Matthew Li,"Civil engineer, contracting",Courtney Hobbs,Medical secretary,954655,400056,non-minority
20211100113,COMPS,Kristi Lopez,9892593202,kristilopez@yahoo.com,F,50.23,56.02,41.54,54.23,92.61,92.18,73.68,Wesley Davis,"Teacher, special educational needs",Katelyn Mills,Landscape architect,1455913,400035,non-minority
20211100114,COMPS,Justin Cordova,9665373484,justincordova@gmail.com,M,67.16,85.46,17.35,90.72,94.81,53.62,76.72,Andrew Garcia,Dance movement psychotherapist,Donna Barry,Dispensing optician,751652,400023,non-minority
20211100115,IT,Jeffrey Mitchell,9987627646,jeffreymitchell@gmail.com,M,48.64,87.15,32.14,73.01,81.54,71.23,23.65,Samuel Robles,"Clinical scientist, histocompatibility and immunogenetics",Katherine Tate,Fish farm manager,841026,400038,non-minority
20211100116,EXTC,Jesus Jones,7738049696,jesusjones@gmail.com,M,98.6,87.09,3.31,91.74,56.97,63.01,70.96,Michael Cooper,Teaching laboratory technician,Jodi Rojas,Automotive engineer,261212,400096,non-minority
20211100117,COMPS,Katherine Fisher,9867942015,katherinefisher@yahoo.com,F,73.55,68.23,96.1,93.92,90.95,78.01,50.02,Derek George,"Radiographer, therapeutic",Victoria Butler,"Geneticist, molecular",460538,400072,non-minority
20211100118,COMPS,Todd King,9665682799,toddking@hotmail.com,M,48.76,75.1,84.65,95.07,57.63,77.7,22.62,Marvin Schmidt,Accommodation manager,Cynthia Oconnor,Public librarian,806897,400087,non-minority
20211100119,IT,Ricky Lawrence,8999390856,rickylawrence@gmail.com,M,71.66,86.52,73.39,82.75,63.74,73.84,88.84,Sergio Holland,"Conservation officer, nature",Sheryl Williams,Ranger/warden,534745,400077,non-minority
20211100120,COMPS,Charles Martin,9892059363,charlesmartin@yahoo.com,M,69.93,73.27,70.08,68.8,88.11,93.83,21.73,Mr. Jacob Russo,Podiatrist,Annette Johnson,Neurosurgeon,522631,400029,non-minority
20211100121,COMPS,David Nichols,8454828888,davidnichols@gmail.com,M,78.7,65.83,2.58,76.9,82.97,73.83,68.69,Randy Peters,Computer games developer,Stephanie Hart,Fast food restaurant manager,239067,400010,non-minority
20211100122,EXTC,Ryan Herrera,9665128143,ryanherrera@yahoo.com,M,61.87,70.4,18.14,90.33,83.07,81.1,48.29,William Cantrell,"Conservation officer, historic buildings",Erin Williams,Editorial assistant,235888,400052,non-minority
20211100123,IT,Jamie Smith,9892951543,jamiesmith@gmail.com,F,67.5,88.89,98.61,97.43,70.87,82.91,5.81,Justin Maxwell,Banker,Kathleen Rhodes,Sports development officer,1125557,400048,non-minority
20211100124,MECH,Jessica Thompson,8452896998,jessicathompson@gmail.com,F,39.81,70.66,84.9,82.81,51.57,56.74,43.59,Jeremy Thompson,Armed forces technical officer,Penny Martinez,Print production planner,228258,400100,christian
